pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,12/1/2025,818.1171124163183
Lexington,Fort Wayne,360,Dry Van,32000,12/2/2025,826.5957550406089
Lexington,Fort Wayne,360,Dry Van,32000,12/3/2025,834.6014767752305
Lexington,Fort Wayne,360,Dry Van,32000,12/4/2025,836.3464545070163
Lexington,Fort Wayne,360,Dry Van,32000,12/5/2025,832.7049088187488
Lexington,Fort Wayne,360,Dry Van,32000,12/6/2025,824.604038090171
Lexington,Fort Wayne,360,Dry Van,32000,12/7/2025,818.4552626827486
Lexington,Fort Wayne,360,Dry Van,32000,12/8/2025,818.1171124163183
Lexington,Fort Wayne,360,Dry Van,32000,12/9/2025,826.8592003539928
Lexington,Fort Wayne,360,Dry Van,32000,12/10/2025,836.8979721294346
Lexington,Fort Wayne,360,Dry Van,32000,12/11/2025,836.4575556944063
Lexington,Fort Wayne,360,Dry Van,32000,12/12/2025,833.5562672197808
Lexington,Fort Wayne,360,Dry Van,32000,12/13/2025,824.4439559521749
Lexington,Fort Wayne,360,Dry Van,32000,12/14/2025,818.4552626827486
Lexington,Fort Wayne,360,Dry Van,32000,12/15/2025,818.1171124163183
Lexington,Fort Wayne,360,Dry Van,32000,12/16/2025,829.7638393962628
Lexington,Fort Wayne,360,Dry Van,32000,12/17/2025,836.8979721294346
Lexington,Fort Wayne,360,Dry Van,32000,12/18/2025,836.7197069176196
Lexington,Fort Wayne,360,Dry Van,32000,12/19/2025,834.2063152918341
Lexington,Fort Wayne,360,Dry Van,32000,12/20/2025,824.4439559521749
Lexington,Fort Wayne,360,Dry Van,32000,12/21/2025,819.4353988650724
Lexington,Fort Wayne,360,Dry Van,32000,12/22/2025,821.9876221270432
Lexington,Fort Wayne,360,Dry Van,32000,12/23/2025,829.7638393962628
Lexington,Fort Wayne,360,Dry Van,32000,12/24/2025,836.3464545070163
Lexington,Fort Wayne,360,Dry Van,32000,12/25/2025,836.6943457815124
Lexington,Fort Wayne,360,Dry Van,32000,12/26/2025,834.6014767752305
Lexington,Fort Wayne,360,Dry Van,32000,12/27/2025,825.6291747772885
Lexington,Fort Wayne,360,Dry Van,32000,12/28/2025,819.080133969191
Lexington,Fort Wayne,360,Dry Van,32000,12/29/2025,821.6378570525786
Lexington,Fort Wayne,360,Dry Van,32000,12/30/2025,829.993101478571
Lexington,Fort Wayne,360,Dry Van,32000,12/31/2025,836.8642137803841
